statement,QCode,SolutionID,Language,Solutions
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Statement
Yet another game from chef. Chef gives you N cards and M bags. Each of the N cards has an integer written on it. Now chef asks you to close your eyes and choose a subset of them. He then sums the numbers written on chosen cards, takes its absolute value and gives you those many coins. You win the game if you can divide these coins into M bags with each bag having equal share. As a first step to calculate the probability of winning, you would like to know the number of different subsets which will make you win. Note that all the cards are of different color, so even if 2 cards have the same number written on it, they are still considered as different cards.
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.
First line of each test case contains two integers N and Q. Q denotes the number of queries to be answered. Second line of each test case contains N integers, the numbers written on cards.
Following Q lines contain an integer M.
Output
For each query output the required Answer modulo 1000000009. Answer is the number of subsets that will ensure you win.
Constraints

1 ≤ T ≤ 3
1 ≤ N ≤ 100000
1 ≤ Q ≤ 30
1 ≤ M ≤ 100
-10^9 ≤ Number on card ≤ 10^9

Example
Input
2
5 1
1 2 -1 4 5
9
5 2
1 2 3 4 5
5
15

Output
4
8
2
Explanation
Test Case #1, Query #1
{}, {1,-1}, {1,-1,4,5}, {4,5} are winning subsets. Sums are 0, 0, 9, 9 respectively.
Test Case #2, Query #1
{}, {5}, {1,4}, {2,3}, {1,4,5}, {2,3,5}, {1,2,3,4}, {1,2,3,4,5} are winning subsets. Sums are 0, 5, 5, 5, 10, 10, 10, 15 respectively.
Test Case #2, Query #2
{}, {1,2,3,4,5} are winning subsets. Sums are 0 and 15 respectively.
Author's Note
Time Limit is not very strict (Yes, not very loose either) if correct Algorithm is used.Author's solution passes with 2 sec Time Limit (C++ solution, using scanf and printf).
Maximum Input File Size < 4MB.
 ",ANUCBC,S8323329,PYTH,"
    """"""
    Created on Sat Oct  3 04:23:39 2015
    
    @author: magusverma
    """"""
    
    MOD = 10**9+9
    def modpow(a,b):
        x = 1
        while(b):
            if (b&1):
                x = (x*a)%MOD
            a = (a*a)%MOD
            b/=2
        return x%MOD
    
    precompute_limit = 100003
    fact = [1 for i in range(precompute_limit)]
    inv_fact = [1 for i in range(precompute_limit)]
    
    def gen_facts():
        for i in range(2,precompute_limit):
            fact[i] = (fact[i-1]*i)%MOD
            inv_fact[i] = modpow(fact[i],MOD-2)
    
    gen_facts()
    
    def ncr(n,r):
        if(n<r):
            return 0
        return (((fact[n]*inv_fact[r])%MOD)*inv_fact[n-r])%MOD
    
    from collections import defaultdict
    def fact(n):
        if n==0:
            return 1 
        return reduce(lambda x,y: x*y, [i for i in range(1,n+1)])
    def ncr(n,r):
        return fact(n)/(fact(r)*fact(n-r))
    
    #a = [1,2,-1,-1,-1,0,0]
    #m = 3
    #n = len(a)
    
    t = input()
    for case in range(t):
        [n,q] = map(int, raw_input().strip().split())
        array = map(int, raw_input().strip().split())
        for query in range(q):
            m = input()
            a = [i%m for i in array]
            
            a_ = [0 for i in range(m)]
            for i in a:
                a_[i] += 1
            
            d = defaultdict(int)
            for i,v in enumerate(a_):
                for j in range(1,v+1):
                    d[(i,(i*j)%m)] += ncr(v,j)
                    d[(i,(i*j)%m)] %= MOD
                    
            dp = [[0 for i in range(m)] for i in range(m+1)]
            dp[0][0] = 1
            
            for i in range(1,m+1):
                for j in range(m):
                    dp[i][j] += dp[i-1][j]
                    dp[i][j] %= MOD
                    for k in range(m):
                        dp[i][j] += dp[i-1][(j-k)%m]*d[(i-1,k)]
                        dp[i][j] %= MOD
            
            print dp[m][0]

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
Problem description
Chef loves circular cakes. He divides them into smaller pieces and sells them. You are to help him in this work.
Today Chef has cooked the brand new circular cake. To split the cake Chef can make several (possibly, zero) cuts. Each cut should be a straight line going from the center of the cake to its border. Also, the angle between any two cuts should have positive integer value (Chef measure all the angles in degrees). Chef consider two pieces of cake equal if the appropriate angles are equal.

The picture contains two distinct pieces, and two cuts. Red part on the image shows one piece. The appropriate angle is AOB.
Chef gives to you an integer N, denoting the number of pieces Chef wants to make. You need to answer the following questions:

Is it possible to make exactly N equal pieces from the whole cake?
Is it possible to make exactly N pieces from the whole cake?
Is it possible to make exactly N pieces from the whole cake, in such a way that no two of them are equal?


Input
First line contains a single integer T denoting the number of test cases. Each of the following T lines contain a single integer N denoting the number of pieces Chef wants to make.
Output
For each test case, output one line containing 3 space separated characters.
Above, we defined the 3 questions that Chef will ask. Output 'y' for yes or 'n' for no (quotes for clarity) for each of those questions.
Answers for 3 questions (in the order above) must be space separated on the same line.
Constraints

1 ≤ T ≤ 10000
1 ≤ N ≤ 10000

Example
Input:
2
4
7

Output:
y y y
n y y
 
Explanation
Example case 1.
Is it possible to make N equal pieces?
Yes, you can cut 4 pieces each with 90 degrees angle.
Is it possible to make N pieces?
Yes, you can cut 4 pieces each with 90 degrees angle.
Is it possible to make N pieces, such that no two of them are equal?
Yes, you can cut 4 pieces with angles 88, 89, 91, 92.
 ",ANUDTC,S10161211,PYTH,"
    test_case = int(raw_input())
    for t in range(test_case):
    	n = int(raw_input())
    	if 360 % n == 0:
    		print 'y',
    	else:
    		print 'n',
    	if n <= 360:
    		print 'y',
    	else:
    		print 'n'
    	if (n*(n+1)/2) <= 360:
    		print 'y',
    	else:
    		print 'n'

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Statement
You will be given an array A of N integers. You need to answer M queries.
Each query is of the form G x y.
For each query, construct the set S from A. A[i] is included in S if x <= i <= y and GCD(G,A[i]) > 1.
Let MAX be the maximum number present in S. Output MAX and number of occurances of MAX in S. If no such number exists, output ""-1 -1"" (without quotes).

Input
The first line of the input contains 2 integers N and M.
Next line has N integers representing the elements of array A.
M lines follow, one per query. Each line has 3 integers G, x and y
Output
For each query output the required Answer.
Constraints

1 ≤ N,M,G,A[i] ≤ 100000  (1 ≤ i ≤ N)
1 ≤ x ≤ y ≤ N

Example
Input
6 5
1 2 3 4 5 4
2 1 5
121 1 6
3 2 6
5 5 5
24 4 6

Output
4 1
-1 -1
3 1
5 1
4 2
Explanation
Query #1
GCD(2,1)=1, GCD(2,2)=2, GCD(2,3)=1, GCD(2,4)=2, GCD(2,5)=1
S = {2,4}
MAX = 4
Query #2
S = {}
There is no element in A such that GCD(121, A[i])>1
Query #5
GCD(24,4)=4, GCD(24,5)=1, GCD(24,4)=4
S = {4,4}
MAX = 4
Answer is ""4 2"" as there are 2 occurances of 4 in S

Author's Note
Time Limit is not strict if correct Algorithm is used.Author's solution passes with 0.6 sec Time Limit (C++ solution, using scanf and printf).
Maximum Input File Size < 3MB.

-->Author's Note
Time Limit is not strict if correct Algorithm is used.Author's solution passes with 0.6 sec Time Limit (C++ solution, using scanf and printf).
Maximum Input File Size < 3MB.

-->    ",ANUGCD,S3621205,PYTH,"
    # your code goes here
    import fractions
    
    n,m = map(int,raw_input().split())
    
    A = map(int,raw_input().split())
    
    #print n,m
    #print A
    
    while m > 0:
    	
    	G,x,y = map (int,raw_input().split())
    	
    	#print G,x,y
    	
    	S = []
    	
    	while x <= y:
    		
    		if fractions.gcd(G,A[x-1]) > 1:
    			S.append(A[x-1])
    		
    		#print S
    		
    		x = x+1
    		
    	if len(S) > 0:
    		print max(S), S.count(max(S))
    	else:
    		print -1,-1
    	
    	m = m -1
    
    #print n,m

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.

Mahesh got a beautiful array named A as a birthday gift from his beautiful girlfriend Namratha. There are N positive integers in that array. Mahesh loved the array so much that he started to spend a lot of time on it everyday. One day, he wrote down all possible subsets of the array. Then for each subset, he calculated the sum of elements in that subset and wrote it down on a paper. Unfortunately, Mahesh lost the beautiful array :(. He still has the paper on which he wrote all subset sums. Your task is to rebuild beautiful array A and help the couple stay happy :)

Input
The first line of the input contains an integer T denoting the number of test cases.
First line of each test case contains one integer N, the number of elements in A.
Second line of each test case contains 2^N integers, the values written on paper
Output
For each test case, output one line with N space separated integers in non-decreasing order.
Constraints

1 ≤ T ≤ 50
1 ≤ N ≤ 15
0 ≤ Values on paper ≤ 10^9
All input values are valid. A solution always exists

Example
Input
2
1
0 10
2
0 1 1 2

Output
10
1 1
Explanation
Test case #2
For the array [1,1], possible subsets are {}, {1}, {1}, {1,1}, respective sums are 0, 1, 1, 2. ",ANUMLA,S5193077,PYTH,"
    import sys
    t = int(raw_input())
    while t > 0:
    	n = int(raw_input())
    	x = map(int,raw_input().split())
    	x.remove(0)
    	for i in xrange(0,n):
    		a = min(x)
    		y = len(x)
    		sys.stdout.write(str(a))
    		sys.stdout.write("" "")
    		for j in xrange(0,y-1):
    			if x[j] != 0:
    				x[j] -= a
    			if x[j] == 0:
    				x.remove(x[j])
    	print """"
    	t-=1
    	
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
Problem description
Rudreshwar likes random numbers and random arrays. Today Rudreshwar started playing with a couple of Arrays A and B, each of size N.
Initially A is filled with zeros. Rudreshwar filled B with random numbers.
Rudreshwar visits each index i (1 <= i <= N) in random order. When at i, he selects another random index j such that j is greater or equal to i. He then increments A[i], A[i+1], A[i+2] ... A[j] by 1.
Finally if for any index i, A[i] is greater than B[i], he then throws away that array A
For a given B, calculate the number of different arrays A, that Rudreshwar can end up with. Two arrays are called different if there exists an index where the arrays have different values
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows. First line of each test case contains an integer N. Second line contains N space separated integers representing the array B
Output
For each test case, output a single line containing the required answer modulo 1000000007.
Constraints

1 ≤ T ≤ 100
1 ≤ N ≤ 1000
1 ≤ B[i] ≤ N

Example
Input:
2
2
2 2
3
1 1 1

Output:
2
1
Explanation
Test case 1
{1, 1} and {1, 2} are valid.
Test case 2
{1, 1, 1} is the only possible final array A. ",ANURRZ,S5936731,PYTH,"
    T = int(raw_input())
    
    def solve(s,N):
        curr = s[-1]
        for i in xrange(N-1, -1, -1):
            consider = min(i+1, s[i])
            if consider < curr:
                curr = consider
            s[i] = curr
        return reduce(lambda x,y: x*y, s)
    
    for i in xrange(T):
        N = int(raw_input())
        L = map(int, raw_input().split())
        print solve(L, N)
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
Problem description
As a holiday gift, Tojo received a probability problem. The problem read as follows
Consider an N by M grid. Rows are numbered 1 to N, from top to bottom. Columns are numbered 1 to M, from left to right. You are initially at cell (1, 1) and want to go to cell (N, M). From any cell you can move to the cell below it or to the cell right to it. You should never go out of the grid. At any point you should consider all the possibilities of movement with equal probability
Let P[i][j] be the probability of visiting cell (i, j). You need to calculate the sum of P[i][j] for 1 ≤ i ≤ N, 1 ≤ i ≤ M.
As we all know, Tojo really hates probability related problems. He wants you to solve this task
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.Only line of each test case has two integer N and M.
Output
For each test case, output a single line containing the required answer. Answers within an absolute or relative error of 10-6 will be accepted.
Constraints

1 ≤ T ≤ 1000
1 ≤ N ≤ 1000
1 ≤ M ≤ 1000

Example
Input:
2
2 2
1 6

Output:
3.000000
6.000000
Explanation
Example case 1
Probability matrix P for N=2, M=2 is
1.0 0.5
0.5 1.0
You are at (1, 1) initially. So the probablity of visiting (1, 1) is 1. At (1, 1) you have 2 options, move below to (2, 1) or to right cell (1, 2). Probablity of going to (1, 2) is 0.5. Probability of going to (2, 1) is 0.5. You always end up at (2, 2), so P[2][2] is 1. Required sum = 1.0 + 0.5 + 0.5 + 1.0 = 3.0
Example case 2
Probability matrix P for N=1, M=6 is
1.0 1.0 1.0 1.0 1.0 1.0
Because at any position there is only one possible next position. ",ANUTHM,S10373217,PYTH,"
    t = input()
    while():
    	t-=1
    	n,m=map(int,raw_input().split())
    	print n+m-1

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.

There are N+1 lights. Lights are placed at  (0, 0), (1, 0), (2, 0) ... (N, 0). Initially all the lights are on. You want to turn off all of them one after one.  You want to follow a special pattern in turning off the lights.


You will start at (0, 0). First, you walk to the right most light that is on, turn it off. Then you walk to the left most light that is on, turn it off. Then again to the right most light that is on and so on. You will stop after turning off all lights. You want to know how much distance you walked in the process. Note that distance between (a,0) and (b,0) is |a-b|.

Input
The first line of the input contains an integer T denoting the number of test cases. Each test case has a single integer N on separate line.

Output
For each test case, output the distance you walked.
Constraints

1 ≤ T ≤ 10^5
1 ≤ N ≤ 10^5

Example
Input
2
1
2

Output
2
5
Explanation
Testcase #2
You are initially at (0, 0)
Right most on-light is (2, 0). Distance = 2.
Now you are at (2, 0).
Left most on-light is (0, 0). Distance = 2.
Now you are at (0, 0)
Right most on-light is (1, 0). Distance = 1.
Now you are at (1, 0) and all lights are turned off.
Total distance walked = 5.
 ",ANUWTA,S10512902,PYTH,"
    T = int(raw_input())
    while T:
        N = int(raw_input())
        print N + (N*(N+1))/2
        T-=1
    

"
"
All submissions for this problem are available.
Chef has recently learnt some new facts about the famous number π. For example, he was surprised that ordinary fractions are sometimes used to represent this number approximately. For example, 22/7, 355/113 or even 103993/33102.
Soon, by calculating the value of 22/7 and 355/113 on paper Chef became quite disappointed because these values are not precise enough. For example, 22/7 differs in the third digit after the decimal point. So, these values are definitely should not be used for serious calculations.
However, Chef doesn't know anything about 103993/33102. This fraction is quite inconvenient to calculate on paper. Chef is curious how precise this value is. So he asks you to help him and to calculate the first K digits after the decimal point of such an approximation of π. He consider this ordinary fraction as infinite decimal fraction so formally he asks you to calculate this approximation truncated to the first K digits after the decimal point.
Input
The first line of the input contains an integer T, denoting the number of test cases. The description of T test cases follows. The only line of each test case contains a single integer K.
Output
For each test case output a single line containing the value of 103993/33102 truncated to the first K digits after the decimal point. Note that for K = 0 you should output just ""3"" without decimal point (quotes are for clarity).
Constraints

0 ≤ K ≤ 106
1 ≤ T ≤ 2000
The sum of K over the input does not exceed 106

Example

Input:
3
0
6
20

Output:
3
3.141592
3.14159265301190260407
Explanation
Example case 1. Here K = 0 so we don't need to output any digits after the decimal point. The decimal point itself also should not be output.
Example case 2. Note that here we truncate (not round) the actual value of 103993/33102 to 6 digits after the decimal point. As you see from example case 3 rounded value here differs from truncated one.
Example case 3. This example is only to show that this approximation of π is also far from perfect :)
",APPROX,S11890319,PYTH,"
    import sys
    t=input()
    p=103993.0/33102.0
    while t:
        k=input()
        if k==0:
            print 3
        else:
            l=103993%33102
            q=103993/33102
            j=1
            while j<=k:
                q=((l*10)/33102)*(10**j)+q
                l=(l*10)%33102
                j+=1
            q=str(q)[::-1]
            q=q[:1]+"".""+q[1:]
            print q
        
        t-=1
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
You are given an array of N integers a1, a2, ..., aN and an integer K. Find the number of such unordered pairs {i, j} that 

i ≠ j
|ai + aj - K| is minimal possible

Output  the minimal possible value of |ai + aj - K| (where i ≠ j) and the number of such pairs for the given array and the integer K.
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.
The first line of each test case consists of two space separated integers - N and K respectively.
The second line contains N single space separated integers - a1, a2, ..., aN respectively.

Output
For each test case, output a single line containing two single space separated integers - the minimal possible value of |ai + aj - K| and the number of unordered pairs {i, j} for which this minimal difference is reached.
Constraints

1 ≤ T ≤ 50
1 ≤ ai, K ≤ 109
N = 2 - 31 point.
2 ≤ N ≤ 1000 - 69 points.

 
Example
Input:
1   
4 9
4 4 2 6

Output:
1 4
Explanation:
The minimal possible absolute difference of 1 can be obtained by taking the pairs of a1 and a2, a1 and a4, a2 and a4, a3 and a4. ",APPROX2,S10497638,PYTH,"
    t=int(input())
    z=0
    while z<t:
        nk = str(input())
        n,k = nk.split(' ')
        a = str(input()).split(' ')
        i=0
        diff=int(k)
        count=0
        i=0
        print(t,n,k,a)
        while i<int(n):
            j=i
            while j<int(n):
                if abs(int(a[i])+int(a[j])-int(k))==diff:
                    count+=1
                if abs(int(a[i])+int(a[j])-int(k))<diff:
                    diff=abs(int(a[i])+int(a[j])-int(k))
                    count=0
                j+=1
            i+=1
        print(diff,count-1)
        z+=1
    

"
"
All submissions for this problem are available.
Byteland is a country located in the Archipelago of Rectangular Islands. The archipelago consists of 1<=n<=1000 islands. A fact that each island has a rectangular shape is very nice for Bytelandian cartographers. 

Bytelandian islands are rather small and none are very fertile, so each of the rectangular pieces of cultivated land is under special control, simply speaking: ‘never enter there if you value your life’. Other areas are guaranteed to be freely accessible for all people.

The communication between islands is possible by ferries. On each island there is 0<=b<=10 terminals, from where crossings to another terminals on other islands are possible.
It is known that total number of crossing connections is 0<=m<=100000. Other infrastructure is practically unknown. Specifically the only possible
way of traveling through  the island is to do it on foot. 

Well, now we are close to a task you are requested to solve. John – one of the Bytelandian citizens is working as a sales manager. He is often requested to travel from one place to another which he rather dislikes.  What he'd rather do is spend his time relaxing on the beach.  Please help him to find a way to spare his time.
Task
 Find the fastest ways for John to travel using ferries and foot paths on islands. Assume that while walking John is always moving one BM (Bytelandian unit of length) per BH  (Bytelandian unit of time).
You can also assume that the ferry departures nearly immediately after John arrives the terminal, it will be enough to round up the walking time to the nearest integer.
Input
In the first line t - the number of tests, then for each test:
in next line n - the number of islands. Description of each island is as follows:

name
w h [island dimensions]
b - [number of terminals]
[description of each terminal in a form:]
name x y [name of a terminal and its coordinates]
F [number of restricted areas F<20]
xl, yd, xr, yu [coordinates of each restricted area,
0 <=xl < xr<=250 0<=yd < yu<=250.]

All coordinates are nonnegative integers measured in BM according to upper left corner of an island.

You can assume that any two restricted areas are disjoint. After the description of all islands all ferry connections are given (each connection is bi-directional). 

m  [number of connections]
[description of each connection]
NB1 NW1 NB2 NW2 time [name of a first terminal, its island, the second respectively
and communiaction time]
...
[description follows]
...
NBS NWS NBC NWC [start and goal terminal for John]
Output

For each test describe the shortest route for John from terminal NBS on NWS island to terminal  NBC on NWC island in the following format:

case nr Y [nr - test number]
T [travel time in BH]
NBS  NWS
...
[consecutive terminals]
...
NBC NWC
[empty line]
[consecutive tests]

If two consecutive terminals are located on the same island and John must take some walk you must give all middle point like in an example.


Example

Input:
1
3
W1
8 7
2
Lindos 4 0
Kamejros 4 7
3
2 1 6 2
2 3 6 4 
2 5 6 6 
W2
14 12
2
Malia 14 1
Knossos 1 12
5
2 6 10 10
11 1 12 6
8 1 10 5
11 7 12 9
3 2 5 4
W3 
1 1
1
Korkyra 0 0
0
2
Kamejros W1 Knossos W2 100
Malia W2 Korkyra W3 100
Korkyra W3 Lindos W1

An example of a correct answer:

Output:
case 1 Y
230
Korkyra W3
Malia W2
12 6
11 7
10 10
Knossos W2
Kamejros W1
2 6
2 1
Lindos W1
 ",ARCHPLG,S4608386,PYTH,"
    import math
    import sys
    from collections import defaultdict
    from itertools import combinations
    
    class Graph:
      def __init__(self):
        self.nodes = set()
        self.edges = defaultdict(list)
        self.distances = {}
     
      def add_node(self, value):
        self.nodes.add(value)
     
      def add_edge(self, from_node, to_node, distance):
        self.edges[from_node].append(to_node)
        self.edges[to_node].append(from_node)
        self.distances[(from_node, to_node)] = distance
        self.distances[(to_node, from_node)] = distance
     
     
    def dijsktra(graph, initial):
      visited = {initial: 0}
      path = {}
     
      nodes = set(graph.nodes)
     
      while nodes: 
        min_node = None
        for node in nodes:
          if node in visited:
            if min_node is None:
              min_node = node
            elif visited[node] < visited[min_node]:
              min_node = node
     
        if min_node is None:
          break
     
        nodes.remove(min_node)
        current_weight = visited[min_node]
     
        for edge in graph.edges[min_node]:
          weight = current_weight + graph.distances[(min_node, edge)]
          if edge not in visited or weight < visited[edge]:
            visited[edge] = weight
            path[edge] = min_node
     
      return visited, path
    
    class Port:
        def __init__(self, name, x, y, island):
            self.name = name
            self.x = x
            self.y = y
            self.island = island
    
        def __eq__(self, other):
            return (isinstance(other, self.__class__)
                and self.__dict__ == other.__dict__)
    
        def __ne__(self, other):
            return not self.__eq__(other)
    
        def __hash__(self):
            return self.x + self.y
    
        def __repr__(self):
            return ' '.join((self.name, self.island))
    
    class Island:
        def __init__(self, name, w, h, ports, rects):
            self.name = name
            self.w = w
            self.h = h
            self.ports = ports
            self.rects = rects
    
        def __repr__(self):
            return str(self.__dict__)
    
    class IslandPoint:
        def __init__(self, x, y, island):
            self.x = x
            self.y = y
            self.island = island
    
        def __eq__(self, other):
            return (isinstance(other, self.__class__)
                and self.__dict__ == other.__dict__)
    
        def __ne__(self, other):
            return not self.__eq__(other)
    
        def __hash__(self):
            return self.x + self.y
    
        def __repr__(self):
            return ' '.join((str(self.x), str(self.y)))
    
    def testprint():
        return sys.stdin.readline().rstrip(' \r\n')
    
    #rdline = sys.stdin.readline
    rdline = testprint
    
    runs = int(rdline())
    
    def line_intersect(x00, y00, x10, y10, x01, y01, x11, y11):
        d = x11 * y01 - x01 * y11
        if d == 0:
            return False
    
        s = (1/d) * ((x00 - x10) * y01 - (y00 - y10) * x01)
        if not 0 <= s <= 1:
            return False
        t = (-1/d) * (-1 * (x00 - x10) * y11 + (y00 - y10) * x11)
        if not 0 <= t <= 1:
            return False
        else:
            return True
    
    def rect_intersect(x0, y0, x1, y1, rects):
        buf = .01
        result = False
        x1 = x1 - x0
        y1 = y1 - y0
        for rect in rects:
    	rectd = (rect[0] + buf, rect[1] - buf, rect[2] + buf, rect[3] - buf)
            result |= (line_intersect(x0,y0,rectd[0],rectd[2],x1,y1,rectd[1]-rectd[0],rectd[2]-rectd[2]) or
                line_intersect(x0,y0,rectd[0],rectd[2],x1,y1,rectd[0]-rectd[0],rectd[3]-rectd[2]) or
                line_intersect(x0,y0,rectd[0],rectd[3],x1,y1,rectd[1]-rectd[0],rectd[3]-rectd[3]) or
                line_intersect(x0,y0,rectd[1],rectd[2],x1,y1,rectd[1]-rectd[1],rectd[3]-rectd[2]) )
            if result: return True
        return result
    
    def distance_form(p0, p1):
        # return int(math.ceil( ( (p0.x-p1.x)**2 + (p0.y-p1.y)**2 ) ** (.5) ))
        # return round(( (p0.x-p1.x)**2 + (p0.y-p1.y)**2 ) ** (.5))
        return (((p0.x-p1.x)**2 + (p0.y-p1.y)**2 ) ** (.5))
    
    for i in xrange(runs):
        islands = {}
        island_graph = Graph()
        num_islands = int(rdline())
        for j in xrange(num_islands):
            is_name = rdline()
            w, h = map(int, rdline().split(' '))
            num_ports = int(rdline())
            ports = {}
            for k in xrange(num_ports):
                l = rdline().split(' ')
                pt_name = l[0]
                pt_x = int(l[1])
                pt_y = int(l[2])
                ports[pt_name] = Port(pt_name, pt_x, pt_y, is_name)
            num_rect = int(rdline())
            rects = []
            for k in xrange(num_rect):
                l = map(int, rdline().rstrip().split(' '))
                rects.append([l[0], l[2], l[1], l[3]])
            islands[is_name] = Island(is_name, w, h, ports, rects)
        num_connections = int(rdline())
        for j in xrange(num_connections):
            l = rdline().split(' ')
            p1, i1, p2, i2 = l[:-1]
            cost = int(l[-1])
            island_graph.add_edge(islands[i1].ports[p1], islands[i2].ports[p2], cost)
        for key in islands:
            island_is = islands[key]
            points = list()
            points.extend(island_is.ports[port] for port in island_is.ports)
            for rect in island_is.rects:
                points.extend(IslandPoint(x,y,island_is) for x in rect[0:2] for y in rect[2:]) 
            for p in points: island_graph.add_node(p)
            for p0, p1 in combinations(points, 2):
                if not rect_intersect(p0.x, p0.y, p1.x, p1.y, island_is.rects):
                    island_graph.add_edge(p0, p1, distance_form(p0,p1))
        p1, i1, p2, i2 = rdline().split(' ')
        visited, paths = dijsktra(island_graph, islands[i1].ports[p1])
        print ' '.join(('case', str(i + 1), 'Y'))
        print int(round(visited[islands[i2].ports[p2]]))
        node = paths[islands[i2].ports[p2]]
        path = [islands[i2].ports[p2]]
        while node:
            path.append(node)
            try:
                node = paths[node]
            except KeyError:
                break
        for j in reversed(path):
            print j
        print

"
"
All submissions for this problem are available.
Our amazing Chef recently met his best friend Joe at his place. Joe is a musician and owns a wide variety of musical instruments. He got introduced to the Arigeom beats in a music training session at Los Angeles. Arigeom beats, as the name suggests, is a combination of two series of beats. One of them has all its frequencies in arithmetic progression while the other series of beats has all its frequencies in geometric progression.
A series of beats is represented by a beat notation, which is the sequence of the frequencies at which the beats are played.
To play Arigeom beats, two digital musical instruments are played simultaneously in front of an instrument known as Sono Phone. One instrument plays the beats in arithmetic progression while the other instrument plays the beats in geometric progression. Sono Phone will capture the beats played by each of the two instruments and process them into Arigeom beats. It will merge the beats, sort the beats in ascending order, and remove duplicate beats.
For example, suppose one instruments plays the following beats notation: (2, 5, 8, 11), an arithmetic progression, while the other plays (2, 4, 8, 16), a geometric progression. The resulting Arigeom beat notation recorded by Sono Phone will be (2, 4, 5, 8, 11, 16).
Because Joe knows how to play Arigeom beats, owns the instruments, and has his friend Chef with him as well, he can't wait anymore to play the beats. Joe has an Arigeom beat notation from his music book and decides that he would play the beats in arithmetic progression while Chef will play the beats in geometric progression. The beat notation consists of N beat frequencies F1, F2, ..., FN. However, he is now confused as to which subset of the beats has to be played by Chef and which one by himself.
Help Joe and Chef figure out the subsets of beats to be played by Joe and Chef.
Input
The first line of the input contains a single integer T denoting the number of test cases. The description of T test cases follows. For each test case, the first line contains an integer N. The second line contains N space-separated integers F1, F2, ..., FN.
Output
For each test case, output two lines. The first line contain the beat notation to be played by Joe (in arithmetic progression). The second line contain the beat notation to be played by Chef (in geometric progression). Each beat notation must contain at least two beats. The beats in each beat notation must be sorted in ascending order.
If there are more than one possible pair of beat notations, output any one of them.
Constraints

1 ≤ T ≤ 100 2 ≤ N ≤ 10,000 1 ≤ Fi ≤ 100,000F1 < F2 < ... < FNIt is guaranteed that at least one pair of valid beat notations exists.

Example

Input:
462 4 5 8 11 1651 2 3 4 581 3 9 10 19 27 28 8161 4 7 10 13 25

Output:
2 5 8 112 4 8 161 2 3 4 51 2 41 10 19 281 3 9 27 811 7 134 10 25
",ARIGEOM,S8934585,PYTH,"
    import sys
    
    def dfs(d,r,prevA,prevG,curLevel):
      
      if (curLevel>=len(beats)): return None
      curNum = beats[curLevel]
      newd = d
      newr = r
      
      # Will current number go in both lists?
      if(d == 0 and prevA != None): newd = curNum - prevA
      if(r == 0 and prevG != None): newr = (1.0*curNum)/prevG
      
      if((prevA == None or prevA+newd == curNum) and (prevG == None or int(prevG*newr) == curNum)):
        
        # TODO : Success check
        if(curLevel == len(beats)-1): return(newd,newr,curNum,curNum)
        ret = dfs(newd,newr,curNum,curNum,curLevel+1)
        if(ret != None): return ret
      
      # Will current number go in A list?
      newd = d
      newr = r
      if(d == 0 and prevA != None): newd = curNum - prevA
      if(prevA == None or prevA+newd == curNum):
        # TODO : Success check
        if(curLevel == len(beats)-1): return(newd,newr,curNum,prevG)
        ret = dfs(newd,newr,curNum,prevG,curLevel+1)
        if(ret != None): return ret
      
      # Will current number go in G list?
      newd = d
      newr = r
      if(r == 0 and prevG != None): newr = (1.0*curNum)/prevG
      if(prevG == None or int(prevG*newr) == curNum):
        # TODO : Success check
        if(curLevel == len(beats)-1): return(newd,newr,prevA,curNum)
        ret = dfs(newd,newr,prevA,curNum,curLevel+1)
        if(ret != None): return ret
    
      return None
    
    input = [l for l in sys.stdin]
    T = int(input[0].strip())
    for t in xrange(T):
      N = int(input[(t*2)+1].strip())
      beatsLine = input[(t*2)+2].strip()
      beats = [int(b) for b in beatsLine.split()]
      
      sol = dfs(0,0,None,None,0)

"
